RAJ2000	DEJ2000
01 31 26.23	+30 18 27.3
01 31 26.33	+30 42 51.7
01 31 26.46	+30 56 11.1
01 31 26.65	+31 02 44.3
01 31 26.67	+31 13 05.3
01 31 26.76	+29 52 16.6
01 31 26.94	+30 04 44.8
01 31 26.97	+31 27 39.7
01 31 26.99	+31 01 47.0
01 31 27.02	+31 23 01.1
01 31 27.12	+30 22 20.3
01 31 27.24	+29 58 21.5
01 31 27.25	+29 50 06.3
01 31 27.56	+30 55 27.1
01 31 27.67	+30 30 18.3
01 31 27.71	+31 26 40.4
01 31 27.71	+29 57 22.7
01 31 27.87	+30 02 24.5
01 31 28.04	+29 56 46.1
01 31 28.08	+30 53 02.4
01 31 28.10	+31 03 37.9
01 31 28.30	+30 22 54.5
01 31 28.52	+31 14 11.8
01 31 28.81	+30 52 53.1
01 31 28.91	+29 53 47.7
01 31 28.97	+30 29 51.4
01 31 29.24	+30 31 12.9
01 31 29.53	+29 57 58.1
01 31 29.73	+30 47 43.9
01 31 30.10	+30 09 33.0
01 31 30.14	+30 23 14.1
01 31 30.99	+30 35 30.4
01 31 31.09	+30 39 09.4
01 31 31.12	+31 11 57.0
01 31 31.25	+30 52 45.7
01 31 31.56	+30 15 52.1
01 31 31.66	+30 05 27.4
01 31 31.85	+30 13 41.5
01 31 32.03	+31 17 34.0
01 31 32.18	+30 08 47.8
01 31 32.38	+29 54 10.2
01 31 32.63	+31 00 57.6
01 31 33.05	+31 01 02.2
01 31 33.05	+29 53 19.2
01 31 33.14	+29 59 14.0
01 31 33.22	+29 59 53.2
01 31 33.35	+29 57 22.6
01 31 34.07	+30 40 58.1
01 31 34.30	+30 42 23.7
01 31 34.54	+30 48 27.6
01 31 34.95	+31 26 02.9
01 31 35.33	+30 01 43.1
01 31 35.37	+30 43 56.2
01 31 35.63	+29 57 01.9
01 31 35.73	+31 30 47.6
01 31 35.93	+31 22 28.3
01 31 36.32	+31 26 14.6
01 31 36.68	+30 11 10.7
01 31 36.86	+31 05 51.1
01 31 36.91	+30 38 10.4
01 31 37.06	+30 03 22.7
01 31 37.46	+30 08 41.4
01 31 37.82	+30 12 30.9
01 31 37.87	+30 11 12.2
01 31 38.09	+31 02 26.7
01 31 38.39	+31 04 10.6
01 31 38.40	+30 20 17.4
01 31 38.49	+30 05 52.8
01 31 38.79	+29 57 13.1
01 31 38.81	+30 49 48.5
01 31 38.89	+30 04 20.2
01 31 39.35	+30 27 01.5
01 31 39.47	+29 57 59.9
01 31 40.05	+31 12 14.1
01 31 40.25	+30 22 09.7
01 31 40.57	+29 57 55.2
01 31 40.58	+30 00 35.3
01 31 40.66	+30 25 26.3
01 31 40.75	+30 34 12.7
01 31 40.78	+30 26 18.5
01 31 40.84	+30 59 07.6
01 31 40.87	+31 19 44.7
01 31 41.00	+30 32 28.3
01 31 41.10	+30 34 16.2
01 31 41.51	+30 53 38.8
01 31 41.71	+31 30 08.3
01 31 42.05	+30 53 49.2
01 31 42.08	+31 28 59.3
01 31 42.20	+30 54 41.6
01 31 42.38	+30 32 08.8
01 31 42.54	+30 45 43.3
01 31 42.96	+31 13 13.2
01 31 43.09	+30 15 57.2
01 31 43.18	+31 17 00.8
01 31 43.36	+29 53 35.3
01 31 43.58	+31 17 48.0
01 31 43.86	+31 26 05.5
01 31 43.87	+29 59 07.4
01 31 43.88	+31 26 28.2
01 31 43.88	+30 31 08.9
01 31 43.98	+31 16 51.9
01 31 44.06	+30 59 16.0
01 31 44.07	+29 53 38.7
01 31 44.25	+30 52 40.2
01 31 44.33	+31 16 12.7
01 31 44.68	+30 28 38.3
01 31 44.75	+30 16 44.8
01 31 44.95	+30 11 26.6
01 31 45.21	+31 29 22.6
01 31 45.48	+29 53 32.4
01 31 45.72	+31 11 13.2
01 31 45.76	+30 13 54.4
01 31 45.82	+30 48 18.9
01 31 46.20	+29 52 47.9
01 31 46.23	+30 49 43.9
01 31 46.31	+30 36 11.7
01 31 46.50	+30 20 30.0
01 31 46.67	+30 08 38.7
01 31 46.74	+29 49 40.6
01 31 47.04	+30 29 01.4
01 31 47.05	+31 24 51.5
01 31 47.06	+31 14 21.1
01 31 47.34	+31 12 45.2
01 31 47.41	+30 57 36.9
01 31 47.46	+29 58 28.2
01 31 47.53	+31 31 34.5
01 31 47.59	+31 08 15.5
01 31 47.60	+30 01 03.2
01 31 47.73	+31 22 55.1
01 31 47.75	+30 41 12.1
01 31 47.78	+31 28 42.1
01 31 47.94	+30 33 18.3
01 31 48.27	+30 30 02.6
01 31 48.36	+30 30 30.0
01 31 48.47	+30 25 53.6
01 31 48.90	+30 46 32.7
01 31 49.04	+29 55 33.0
01 31 49.39	+30 17 42.6
01 31 49.57	+31 08 13.2
01 31 49.69	+31 03 30.5
01 31 49.73	+31 05 44.4
01 31 50.04	+30 13 20.9
01 31 50.12	+30 14 55.6
01 31 50.20	+30 21 06.7
01 31 50.24	+30 33 04.9
01 31 50.45	+31 01 08.2
01 31 50.68	+30 01 12.5
01 31 50.70	+30 53 58.3
01 31 51.10	+30 31 41.4
01 31 51.33	+29 55 52.8
01 31 51.33	+31 07 35.2
01 31 51.73	+30 56 28.2
01 31 51.84	+30 10 31.1
01 31 52.07	+31 17 22.7
01 31 52.07	+30 20 10.8
01 31 52.15	+31 16 35.7
01 31 52.20	+31 00 18.0
01 31 52.21	+30 18 01.1
